"Object","Filter","Cadence","MJD","Duration","Flux","Error","Coadd"
"Mrk509","UVM2",1008,57838.6318765434,262.274519979954,5.022034,0.07296368,FALSE
"Mrk509","UVW1",1009,57839.1518264047,173.75743997097,4.391125,0.062641745,FALSE
"Mrk509","U",1009,57839.1533856344,86.7628600001335,3.023503,0.05378146,FALSE
"Mrk509","B",1009,57839.154444041,86.7738799452782,1.6730078,0.02989774,FALSE
"Mrk509","HX",1009,57839.1554,1065.6019584,0.951917,0.0854,FALSE
"Mrk509","SX",1009,57839.1554,1065.6019584,1.864997,0.119241,FALSE
"Mrk509","UVW2",1009,57839.1570269441,347.768619954586,5.713178,0.069561813,FALSE
"Mrk509","V",1009,57839.1595977163,86.7739000320435,1.3191549,0.02967724,FALSE
"Mrk509","UVM2",1009,57839.161352959,208.323559999466,4.9259872,0.07656919,FALSE
"Mrk509","U",1010,57840.0168309438,43.7675999999046,3.055961,0.069450513,FALSE
"Mrk509","HX",1010,57840.01732,566.65008,1.300498,0.111183,FALSE
"Mrk509","SX",1010,57840.01732,566.65008,2.505997,0.153929,FALSE
"Mrk509","B",1010,57840.0173914645,43.7565400004387,1.7262752,0.040217318,FALSE
"Mrk509","V",1010,57840.0200712887,43.7785999774933,1.26028245,0.038129837,FALSE
"Mrk509","UVW1",1011,57840.2935075352,100.763639986515,4.2920013,0.07330229,FALSE
"Mrk509","U",1011,57840.2944293711,49.7694799900055,3.0479457,0.06599892,FALSE
"Mrk509","B",1011,57840.295059103,49.7805200219154,1.6800522,0.037431574,FALSE
"Mrk509","HX",1011,57840.29549,616.7959488,1.160319,0.085719,FALSE
"Mrk509","SX",1011,57840.29549,616.7959488,1.87971,0.108937,FALSE
"Mrk509","UVW2",1011,57840.2965793853,201.736899971962,5.670529,0.07918973,FALSE
"Mrk509","V",1011,57840.2980870897,49.7695000171661,1.2936697,0.0369809,FALSE
"Mrk509","UVM2",1011,57840.2992495686,142.567359983921,4.925918,0.08635062,FALSE
"Mrk509","UVW1",1012,57841.3530439863,153.776799976826,4.2127512,0.06272262,FALSE
"Mrk509","U",1012,57841.3544281452,76.7780799865723,2.94501,0.05444643,FALSE
"Mrk509","B",1012,57841.3553695186,76.7780599594116,1.656894,0.030960113,FALSE
"Mrk509","HX",1012,57841.3567,960.2960832,1.319532,0.079127,FALSE
"Mrk509","SX",1012,57841.3567,960.2960832,2.016691,0.097927,FALSE
"Mrk509","UVW2",1012,57841.3576817067,307.873560011387,5.501014,0.06917151,FALSE
"Mrk509","V",1012,57841.3599628646,76.7780799865723,1.2624186,0.030403888,FALSE
"Mrk509","UVM2",1012,57841.3618538481,241.841559946537,4.6956108,0.07065542,FALSE
"Mrk509","UVW1",1013,57842.93827481,91.2201799750328,4.200696,0.07466487,FALSE
"Mrk509","UVW1",1014,57843.5963444662,181.778399944305,4.1078767,0.05844174,FALSE
"Mrk509","U",1014,57843.5979730987,90.7788600325584,2.859927,0.04999398,FALSE
"Mrk509","B",1014,57843.5990778595,90.7678399682045,1.5909418,0.028065486,FALSE
"Mrk509","HX",1014,57843.60085,1133.2999872,0.86498,0.078869,FALSE
"Mrk509","SX",1014,57843.60085,1133.2999872,1.357474,0.099468,FALSE
"Mrk509","UVW2",1014,57843.6017776048,363.788500010967,5.1188325,0.062647706,FALSE
"Mrk509","V",1014,57843.6044704546,90.7678400278091,1.1929687,0.027132652,FALSE
"Mrk509","UVM2",1014,57843.6067191782,289.139720022678,4.3926753,0.063841265,FALSE
"Mrk509","UVW1",1015,57844.7265995784,170.756520032883,4.0292602,0.058568374,FALSE
"Mrk509","U",1015,57844.7281300771,84.7769600152969,2.8354914,0.050647975,FALSE
"Mrk509","B",1015,57844.7291793538,84.7769399881363,1.591698,0.028754437,FALSE
"Mrk509","HX",1015,57844.73058,1033.0080768,0.972252,0.055484,FALSE
